""	"BS.S5.vs.M.S5"	"BS.S4.vs.M.S4"	"BS.S3.vs.M.S3"	"BS.S2.vs.M.S2"	"BS.S1.vs.M.S1"
"AC148152.3_FG001"	1	0.514865877972125	0.503335021665866	0.0616404751477716	0.115600891926969
"AC148152.3_FG005"	1	1	1	1	0.833097900152862
"AC148152.3_FG006"	1	1	1	1	1
"AC148152.3_FG008"	1	1	1	0.555788956081403	0.907211129958345
"AC148167.6_FG001"	1	1	1	0.424346609804222	1
"AC149475.2_FG002"	1	1	1	0.624169750634641	1
"AC149475.2_FG003"	0.230418354754288	0.603062807644962	0.66194472539476	0.677525984325715	1
"AC149475.2_FG004"	1	1	1	1	1
"AC149475.2_FG005"	1	1	1	0.529774701789203	1
"AC149475.2_FG007"	1	0.638451911208552	0.202442352691744	0.0598628193942476	1
"AC149810.2_FG003"	1	1	1	0.563153364460431	1
"AC149810.2_FG004"	1	1	1	1	1
"AC149810.2_FG008"	1	1	0.950617276814324	1	1
"AC149818.2_FG001"	0.189520030090489	0.671486200216027	0.186875954624462	0.451675574939824	0.598525578275231
"AC149818.2_FG004"	1	1	1	0.339772085462612	0.0750707158385849
"AC149818.2_FG005"	1	1	0.424671939769951	0.848241377932689	1
"AC149818.2_FG006"	1	1	1	1	1
"AC149818.2_FG007"	1	1	1	1	1
"AC149818.2_FG008"	1	1	1	1	1
"AC149818.2_FG009"	1	1	1	0.947745087591406	1
"AC149828.2_FG002"	0.596778424315417	0.136073518595946	0.0922678665588642	0.007286911705543	0.0424906639118339
"AC149828.2_FG004"	1	1	1	0.51523719793724	1
"AC149828.2_FG005"	1	1	1	0.878401872757974	1
"AC149829.2_FG002"	1	1	1	0.825891601281777	1
"AC149829.2_FG003"	1	1	0.968574160482703	1	1
"AC149829.2_FG004"	0.127736218124212	0.737469811327748	0.361115504741635	0.9368012690106	1
"AC149829.2_FG006"	1	1	1	1	1
"AC150739.3_FG001"	1	1	1	0.321045380334999	1
"AC152495.1_FG002"	1	0.410156575845174	1	0.0127442428861693	1
"AC152495.1_FG003"	1	1	1	0.753826493687087	1
"AC152495.1_FG005"	1	1	1	1	1
"AC152495.1_FG006"	1	1	1	1	1
"AC152495.1_FG010"	1	0.44993269200435	1	0.0334887562794106	0.914001586257553
"AC152495.1_FG011"	1	1	1	1	0.824533451210932
"AC152495.1_FG012"	1	1	1	1	1
"AC152495.1_FG013"	1	1	1	0.851883392138643	1
"AC152495.1_FG015"	1	1	1	1	1
"AC152495.1_FG017"	1	1	1	0.0163115872817193	0.931192058529601
"AC155352.2_FG001"	1	1	1	1	1
"AC155352.2_FG009"	1	1	1	1	1
"AC155352.2_FG010"	1	1	1	1	1
"AC155376.2_FG002"	1	1	1	1	1
"AC155376.2_FG004"	1	1	1	0.650464525204796	1
"AC155376.2_FG005"	0.022365009700115	0.000654594186774184	4.55721280425772e-07	9.51349832777145e-07	3.77240576021586e-09
"AC155377.1_FG001"	1	1	1	0.35013578668376	1
"AC155377.1_FG002"	1	1	1	1	1
"AC155390.2_FG002"	1	1	1	1	1
"AC155434.2_FG001"	1	1	1	1	1
"AC155434.2_FG003"	1	1	1	1	1
"AC155434.2_FG004"	1	1	1	0.536001402858336	1
"AC155434.2_FG005"	0.732239449422011	0.00701609038968019	0.00513388316489207	2.9261322333795e-08	0.0110487113927577
"AC155434.2_FG006"	1	1	1	1	1
"AC155434.2_FG008"	1	1	1	1	1
"AC155496.2_FG009"	1	1	1	0.0593840092713719	1
"AC155610.2_FG007"	1	1	1	0.116989612625969	1
"AC155610.2_FG009"	1	1	1	1	1
"AC155622.2_FG001"	1	1	1	0.486495090976264	1
"AC155622.2_FG004"	1	1	1	0.876919482450101	1
"AC155624.2_FG006"	1	1	0.252630856975555	0.20694441962322	0.108281935015167
"AC155624.2_FG008"	1	1	1	1	1
"AC155624.2_FG011"	1	1	1	1	1
"AC155624.2_FG012"	1	1	1	1	1
"AC159612.1_FG007"	0.664686623412378	1	1	1	1
"AC165171.2_FG002"	1	1	1	1	1
"AC165178.2_FG001"	1	1	1	1	1
"AC165178.2_FG002"	1	1	1	1	1
"AC165178.2_FG003"	1	1	1	1	1
"AC165178.2_FG004"	0.602702721826364	0.749393274053275	1	1	1
"AC166636.1_FG007"	0.394798379566968	1	1	0.994098567716693	0.451332888838997
"AC166636.1_FG008"	1	1	1	0.435877710621444	1
"AC166636.1_FG009"	1	1	1	0.521528919282841	1
"AC177815.2_FG001"	1	1	1	0.551793088968022	1
"AC177815.2_FG003"	1	1	1	1	1
"AC177819.2_FG005"	1	1	1	1	1
"AC177820.3_FG007"	1	1	1	1	1
"AC177820.3_FG009"	1	1	1	1	1
"AC177821.2_FG002"	1	1	1	1	1
"AC177821.2_FG003"	1	1	1	1	1
"AC177821.2_FG005"	1	1	1	1	1
"AC177824.2_FG003"	1	1	1	1	1
"AC177831.3_FG004"	1	1	1	0.975879534278659	1
"AC177833.2_FG001"	1	1	1	1	1
"AC177837.3_FG002"	1	1	1	1	1
"AC177837.3_FG007"	1	1	1	1	1
"AC177837.3_FG012"	1	1	1	0.106322721502211	1
"AC177838.2_FG002"	1	1	1	0.391313698621332	1
"AC177838.2_FG009"	1	1	1	1	1
"AC177838.2_FG012"	1	1	1	1	1
"AC177838.2_FG013"	1	1	1	1	1
"AC177838.2_FG015"	1	1	1	1	1
"AC177838.2_FG017"	1	1	1	1	1
"AC177838.2_FG018"	1	1	1	1	1
"AC177840.3_FG003"	1	1	1	1	1
"AC177840.3_FG005"	1	1	1	1	1
"AC177844.2_FG003"	1	1	1	1	1
"AC177845.2_FG001"	1	1	1	1	1
"AC177846.2_FG001"	1	1	1	1	1
"AC177846.2_FG002"	1	1	1	1	1
"AC177849.3_FG001"	1	1	1	1	1
"AC177850.2_FG003"	1	1	1	0.895434071044019	1
"AC177850.2_FG005"	0.995220635451473	1	0.727076202105995	0.355257976373811	0.945897841494554
"AC177850.2_FG006"	1	1	1	1	1
"AC177852.2_FG003"	1	1	1	1	1
"AC177854.5_FG003"	1	1	1	1	1
"AC177859.4_FG006"	1	1	1	1	1
"AC177859.4_FG010"	1	1	1	1	1
"AC177860.4_FG002"	1	1	1	1	1
"AC177860.4_FG009"	1	1	1	1	1
"AC177862.3_FG002"	1	1	1	1	1
"AC177863.3_FG013"	1	1	1	0.842009157597078	1
"AC177863.3_FG014"	1	1	1	1	1
"AC177867.2_FG001"	1	1	1	1	1
"AC177868.3_FG005"	1	1	1	1	1
"AC177871.2_FG004"	1	1	1	1	1
"AC177873.3_FG003"	1	1	1	0.840982438127983	0.816491765589923
"AC177875.2_FG005"	1	1	1	1	1
"AC177878.4_FG002"	1	1	1	1	1
"AC177882.3_FG005"	1	1	1	1	1
"AC177882.3_FG006"	1	1	1	1	1
"AC177883.2_FG003"	1	1	1	1	1
"AC177884.3_FG008"	1	1	1	1	1
"AC177886.2_FG001"	1	1	1	1	1
"AC177888.2_FG002"	1	1	1	1	1
"AC177889.2_FG004"	1	1	1	1	1
"AC177889.2_FG006"	1	0.501043764045654	1	1	1
"AC177890.3_FG005"	1	1	1	1	1
