""	"LMD_S14.vs.total_S14"
"AC148152.3_FG001"	0.121576103192206
"AC148152.3_FG005"	1
"AC148152.3_FG006"	1
"AC148152.3_FG008"	0.730527680827832
"AC148167.6_FG001"	1
"AC149475.2_FG002"	0.595477426994902
"AC149475.2_FG003"	1
"AC149475.2_FG004"	1
"AC149475.2_FG005"	3.99498706191681e-08
"AC149475.2_FG007"	0.138375392661804
"AC149810.2_FG003"	1
"AC149810.2_FG004"	1
"AC149810.2_FG008"	0.918122606492032
"AC149818.2_FG001"	0.367374943270317
"AC149818.2_FG004"	0.810587489088017
"AC149818.2_FG005"	1
"AC149818.2_FG006"	1
"AC149818.2_FG007"	0.532151571489659
"AC149818.2_FG008"	1
"AC149818.2_FG009"	1
"AC149828.2_FG002"	0.71085753610815
"AC149828.2_FG004"	0.00277759391622155
"AC149828.2_FG005"	1
"AC149829.2_FG002"	0.189847726729976
"AC149829.2_FG003"	0.001620319472181
"AC149829.2_FG004"	0.000914771900776696
"AC149829.2_FG006"	0.00735424006495923
"AC150739.3_FG001"	1
"AC152495.1_FG002"	0.124278358094915
"AC152495.1_FG003"	0.0973369612871673
"AC152495.1_FG005"	1
"AC152495.1_FG006"	1
"AC152495.1_FG010"	0.608208211266391
"AC152495.1_FG011"	0.385941626211825
"AC152495.1_FG012"	0.135544184857179
"AC152495.1_FG013"	1
"AC152495.1_FG015"	1
"AC152495.1_FG017"	0.516512100325669
"AC155352.2_FG001"	1
"AC155352.2_FG009"	1
"AC155352.2_FG010"	1
"AC155376.2_FG002"	1
"AC155376.2_FG004"	0.0626910631191842
"AC155376.2_FG005"	3.60501753648913e-05
"AC155377.1_FG001"	0.24053396659286
"AC155377.1_FG002"	0.697603894350517
"AC155390.2_FG002"	0.012534218839118
"AC155434.2_FG001"	7.63409290390111e-05
"AC155434.2_FG003"	0.626985926536808
"AC155434.2_FG004"	0.00095996552690674
"AC155434.2_FG005"	0.000253050507900057
"AC155434.2_FG006"	1
"AC155434.2_FG008"	1
"AC155496.2_FG009"	0.215595467924856
"AC155610.2_FG007"	1
"AC155610.2_FG009"	1
"AC155622.2_FG001"	0.00867681064578588
"AC155622.2_FG004"	5.81313941156862e-05
"AC155624.2_FG006"	0.785140370501829
"AC155624.2_FG008"	1
"AC155624.2_FG011"	1
"AC155624.2_FG012"	1
"AC159612.1_FG007"	0.00307198583101593
"AC165171.2_FG002"	0.802868954805168
"AC165178.2_FG001"	1
"AC165178.2_FG002"	1
"AC165178.2_FG003"	1
"AC165178.2_FG004"	0.00227374255077067
"AC166636.1_FG007"	0.00612277951863602
"AC166636.1_FG008"	0.00259002415333856
"AC166636.1_FG009"	0.683504359046226
"AC177815.2_FG001"	1
"AC177815.2_FG003"	1
"AC177819.2_FG005"	1
"AC177820.3_FG007"	1
"AC177820.3_FG009"	1
"AC177821.2_FG002"	1
"AC177821.2_FG003"	1
"AC177821.2_FG005"	1
"AC177824.2_FG003"	1
"AC177831.3_FG004"	1
"AC177833.2_FG001"	1
"AC177837.3_FG002"	1
"AC177837.3_FG007"	0.0020649270986202
"AC177837.3_FG012"	0.777218898143308
"AC177838.2_FG002"	1
"AC177838.2_FG009"	1
"AC177838.2_FG012"	1
"AC177838.2_FG013"	1
"AC177838.2_FG015"	0.0280819476840825
"AC177838.2_FG017"	1
"AC177838.2_FG018"	1
"AC177840.3_FG003"	1
"AC177840.3_FG005"	1
"AC177844.2_FG003"	1
"AC177845.2_FG001"	1
"AC177846.2_FG001"	1
"AC177846.2_FG002"	1
"AC177849.3_FG001"	1
"AC177850.2_FG003"	1
"AC177850.2_FG005"	0.192910819125353
"AC177850.2_FG006"	1
"AC177852.2_FG003"	1
"AC177854.5_FG003"	1
"AC177859.4_FG006"	1
"AC177859.4_FG010"	1
"AC177860.4_FG002"	1
"AC177860.4_FG009"	1
"AC177862.3_FG002"	1
"AC177863.3_FG013"	1
"AC177863.3_FG014"	1
"AC177867.2_FG001"	1
"AC177868.3_FG005"	1
"AC177871.2_FG004"	1
"AC177873.3_FG003"	1
"AC177875.2_FG005"	1
"AC177878.4_FG002"	1
"AC177882.3_FG005"	1
"AC177882.3_FG006"	1
"AC177883.2_FG003"	1
"AC177884.3_FG008"	1
"AC177886.2_FG001"	1
"AC177888.2_FG002"	1
"AC177889.2_FG004"	1
"AC177889.2_FG006"	0.268228543124737
"AC177890.3_FG005"	0.397806542647554
"AC177893.3_FG003"	0.697603894350517
"AC177893.3_FG005"	1
"AC177893.3_FG006"	1
"AC177897.2_FG002"	0.0296972767488824
"AC177897.2_FG020"	1
"AC177897.2_FG021"	1
"AC177897.2_FG022"	1
"AC177897.2_FG025"	6.63464967794586e-07
"AC177897.2_FG029"	1
"AC177897.2_FG036"	1
"AC177899.2_FG009"	0.0129795218023789
"AC177899.2_FG012"	1
"AC177900.4_FG001"	1
"AC177901.3_FG002"	1
"AC177901.3_FG004"	0.731526141194842
"AC177902.2_FG003"	1
"AC177903.4_FG002"	1
"AC177905.2_FG001"	1
"AC177905.2_FG003"	1
"AC177905.2_FG007"	1
"AC177907.4_FG006"	1
"AC177908.3_FG002"	0.295441165225013
"AC177908.3_FG003"	1
"AC177908.3_FG006"	1
"AC177909.3_FG007"	1
"AC177910.2_FG004"	1
"AC177911.4_FG005"	1
"AC177913.4_FG002"	1
"AC177914.2_FG004"	1
"AC177915.2_FG022"	1
"AC177917.1_FG005"	1
"AC177919.3_FG004"	1
"AC177920.3_FG008"	1
"AC177922.2_FG001"	1
"AC177922.2_FG002"	1
"AC177922.2_FG003"	1
"AC177924.2_FG001"	0.731526141194842
"AC177924.2_FG003"	0.00741734179797984
"AC177925.2_FG003"	1
"AC177926.2_FG003"	1
"AC177926.2_FG017"	1
"AC177930.2_FG001"	1
"AC177930.2_FG002"	1
"AC177933.2_FG002"	0.731526141194842
"AC177933.2_FG003"	1
"AC177933.2_FG005"	1
"AC177934.2_FG001"	1
"AC177936.6_FG008"	1
"AC177939.3_FG004"	1
"AC177940.4_FG006"	1
"AC177941.3_FG001"	1
"AC177941.3_FG006"	1
"AC177941.3_FG008"	1
"AC177944.2_FG001"	1
"AC177945.3_FG009"	0.0433413074695034
"AC177946.2_FG004"	1
"AC177946.2_FG006"	1
"AC177946.2_FG009"	1
"AC177947.2_FG003"	1
"AC182101.3_FG001"	1
"AC182101.3_FG006"	1
"AC182105.3_FG001"	1
"AC182105.3_FG005"	1
"AC182105.3_FG006"	1
"AC182110.4_FG002"	1
"AC182413.4_FG002"	1
"AC182413.4_FG012"	1
"AC182414.3_FG001"	0.475669963112844
"AC182414.3_FG003"	1
"AC182415.4_FG001"	1
"AC182417.4_FG004"	1
"AC182420.4_FG001"	1
"AC182439.4_FG004"	1
