""	"Li_2010.total.Section_1.1"	"Li_2010.total.Section_1.2"	"Li_2010.total.Section_4.1"	"Li_2010.total.Section_4.2"	"Li_2010.total.Section_9.1"	"Li_2010.total.Section_9.2"	"Li_2010.total.Section_14.1"	"Li_2010.total.Section_14.2"	"Li_2010.M.Section_14.1"	"Li_2010.M.Section_14.2"	"Li_2010.BS.Section_14.1"	"Li_2010.BS.Section_14.2"
"AC148152.3_FG001"	0	0	0	0	0	2	1	4	0	0	0	0
"AC148152.3_FG005"	1	0	27	77	2	0	0	0	0	0	0	0
"AC148152.3_FG006"	0	1	1	2	0	0	0	0	0	0	0	0
"AC148152.3_FG008"	18	84	238	353	1180	1146	747	1560	510	337	401	481
"AC148167.6_FG001"	184	265	377	599	715	653	226	460	613	684	288	397
"AC149475.2_FG002"	790	1559	55	58	44	43	20	42	9	3	9	10
"AC149475.2_FG003"	795	1086	192	276	242	231	68	181	140	92	81	166
"AC149475.2_FG004"	0	2	1	0	4	0	1	7	3	3	1	2
"AC149475.2_FG005"	118	171	137	203	238	203	78	200	8	4	6	3
"AC149475.2_FG007"	60	206	6	17	8	8	5	11	1	0	1	0
"AC149810.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC149810.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC149810.2_FG008"	0	1	6	7	2	1	4	4	1	4	0	0
"AC149818.2_FG001"	11	12	37	48	9	7	10	6	3	1	1	2
"AC149818.2_FG004"	156	128	3	1	0	0	0	1	0	0	0	0
"AC149818.2_FG005"	16	30	2	3	0	1	1	1	5	2	2	0
"AC149818.2_FG006"	74	132	41	104	88	72	39	79	96	96	53	53
"AC149818.2_FG007"	18	15	2	8	9	16	1	6	0	0	2	0
"AC149818.2_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC149818.2_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC149828.2_FG002"	286	285	24	42	36	38	16	29	6	3	6	16
"AC149828.2_FG004"	0	2	4	1	5	4	4	11	0	0	0	0
"AC149828.2_FG005"	0	0	0	0	0	1	0	0	0	0	0	1
"AC149829.2_FG002"	1	1	3	3	7	9	8	3	2	0	1	0
"AC149829.2_FG003"	181	174	26	35	10	10	29	41	1	0	1	1
"AC149829.2_FG004"	6	15	0	5	33	33	8	17	0	0	0	0
"AC149829.2_FG006"	240	557	239	406	164	153	55	124	17	15	11	6
"AC150739.3_FG001"	51	53	19	35	28	21	9	17	8	6	12	14
"AC152495.1_FG002"	2	1	7	9	18	18	13	35	3	1	4	6
"AC152495.1_FG003"	0	0	3	6	10	7	2	12	0	0	1	0
"AC152495.1_FG005"	0	1	0	0	0	0	0	0	0	0	0	0
"AC152495.1_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC152495.1_FG010"	0	0	1	1	8	7	12	20	6	7	2	0
"AC152495.1_FG011"	0	0	0	1	0	2	1	1	0	0	0	0
"AC152495.1_FG012"	17	10	0	0	7	5	1	5	0	0	0	0
"AC152495.1_FG013"	0	0	0	0	0	0	0	0	0	0	0	0
"AC152495.1_FG015"	0	0	0	0	0	0	0	0	0	0	0	0
"AC152495.1_FG017"	1	0	14	20	35	42	13	33	7	7	4	1
"AC155352.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC155352.2_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC155352.2_FG010"	0	0	0	0	0	0	0	0	0	0	0	0
"AC155376.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC155376.2_FG004"	100	341	29	86	7	7	2	5	0	0	0	0
"AC155376.2_FG005"	13	22	23	23	88	90	72	137	4	0	6	5
"AC155377.1_FG001"	302	387	584	765	941	775	323	701	179	201	135	139
"AC155377.1_FG002"	98	178	87	117	64	60	14	51	21	6	9	13
"AC155390.2_FG002"	10	19	4	6	13	9	8	11	0	0	0	2
"AC155434.2_FG001"	12	54	23	76	89	114	19	65	2	2	0	1
"AC155434.2_FG003"	0	0	1	5	1	1	1	1	14	9	2	0
"AC155434.2_FG004"	189	228	72	62	50	60	29	110	1	6	2	6
"AC155434.2_FG005"	26	47	7	21	11	6	12	15	0	0	0	0
"AC155434.2_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC155434.2_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC155496.2_FG009"	217	390	157	228	149	110	39	122	32	9	20	27
"AC155610.2_FG007"	3	25	333	780	4	1	0	0	0	0	0	0
"AC155610.2_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
