""	"LMD_S14.vs.total_S14"
"AC148152.3_FG001"	-4.2643296834557
"AC148152.3_FG005"	0
"AC148152.3_FG006"	0
"AC148152.3_FG008"	-1.25476741256038
"AC148167.6_FG001"	0.693792655321156
"AC149475.2_FG002"	-1.82593202192243
"AC149475.2_FG003"	0.141595163011167
"AC149475.2_FG004"	-0.468816502691499
"AC149475.2_FG005"	-4.46128920016054
"AC149475.2_FG007"	-3.52516834940908
"AC149810.2_FG003"	0
"AC149810.2_FG004"	0
"AC149810.2_FG008"	-1.56126830758589
"AC149818.2_FG001"	-2.27517715511752
"AC149818.2_FG004"	-2.11020819789294
"AC149818.2_FG005"	1.15474851268937
"AC149818.2_FG006"	0.50737402298965
"AC149818.2_FG007"	-2.18996868360484
"AC149818.2_FG008"	0
"AC149818.2_FG009"	0
"AC149828.2_FG002"	-1.45052261992319
"AC149828.2_FG004"	-5.84663926314785
"AC149828.2_FG005"	1.64276201406565
"AC149829.2_FG002"	-2.88577526536695
"AC149829.2_FG003"	-5.29568014172546
"AC149829.2_FG004"	-6.62918515417006
"AC149829.2_FG006"	-2.64559118245125
"AC150739.3_FG001"	-0.233646709671527
"AC152495.1_FG002"	-2.53076996933272
"AC152495.1_FG003"	-3.88784717682274
"AC152495.1_FG005"	0
"AC152495.1_FG006"	0
"AC152495.1_FG010"	-1.91697608288751
"AC152495.1_FG011"	-3.21401726031519
"AC152495.1_FG012"	-4.46390871903777
"AC152495.1_FG013"	0
"AC152495.1_FG015"	0
"AC152495.1_FG017"	-1.99490123835026
"AC155352.2_FG001"	0
"AC155352.2_FG009"	0
"AC155352.2_FG010"	0
"AC155376.2_FG002"	0
"AC155376.2_FG004"	-4.79589928556639
"AC155376.2_FG005"	-4.61789528922193
"AC155377.1_FG001"	-1.45520213432505
"AC155377.1_FG002"	-1.12628064627038
"AC155390.2_FG002"	-3.94420788370538
"AC155434.2_FG001"	-4.67279141662753
"AC155434.2_FG003"	2.58003490831216
"AC155434.2_FG004"	-3.86944528689646
"AC155434.2_FG005"	-6.87412183567584
"AC155434.2_FG006"	0
"AC155434.2_FG008"	0
"AC155496.2_FG009"	-1.61963511981716
"AC155610.2_FG007"	0
"AC155610.2_FG009"	0
"AC155622.2_FG001"	-2.95623258810887
"AC155622.2_FG004"	-5.87803448413257
"AC155624.2_FG006"	-1.00206526157961
"AC155624.2_FG008"	0
"AC155624.2_FG011"	-0.124442341938501
"AC155624.2_FG012"	0
"AC159612.1_FG007"	-4.81302499049006
"AC165171.2_FG002"	2.92332778995118
"AC165178.2_FG001"	0
"AC165178.2_FG002"	0
"AC165178.2_FG003"	0
"AC165178.2_FG004"	-5.84732763099131
"AC166636.1_FG007"	-5.41862756058534
"AC166636.1_FG008"	-6.11442900954489
"AC166636.1_FG009"	-2.3332555978091
"AC177815.2_FG001"	0
"AC177815.2_FG003"	0
"AC177819.2_FG005"	0
"AC177820.3_FG007"	0
"AC177820.3_FG009"	0
"AC177821.2_FG002"	0
"AC177821.2_FG003"	0
"AC177821.2_FG005"	1.69699239850218
"AC177824.2_FG003"	0
"AC177831.3_FG004"	-0.736004906233734
"AC177833.2_FG001"	0
"AC177837.3_FG002"	0
"AC177837.3_FG007"	-5.59368339981884
"AC177837.3_FG012"	1.86078846223544
"AC177838.2_FG002"	0
"AC177838.2_FG009"	0
"AC177838.2_FG012"	0
"AC177838.2_FG013"	0
"AC177838.2_FG015"	-4.80017908079452
"AC177838.2_FG017"	0
"AC177838.2_FG018"	0
"AC177840.3_FG003"	0
"AC177840.3_FG005"	0
"AC177844.2_FG003"	0
"AC177845.2_FG001"	0
"AC177846.2_FG001"	0
"AC177846.2_FG002"	0
"AC177849.3_FG001"	0
"AC177850.2_FG003"	0
"AC177850.2_FG005"	-4.20638675353329
"AC177850.2_FG006"	0
"AC177852.2_FG003"	0
"AC177854.5_FG003"	0
"AC177859.4_FG006"	0
"AC177859.4_FG010"	0
"AC177860.4_FG002"	0
"AC177860.4_FG009"	0
"AC177862.3_FG002"	0
"AC177863.3_FG013"	0
"AC177863.3_FG014"	0
"AC177867.2_FG001"	0
"AC177868.3_FG005"	0
"AC177871.2_FG004"	0
"AC177873.3_FG003"	0
"AC177875.2_FG005"	0
"AC177878.4_FG002"	0
"AC177882.3_FG005"	0
"AC177882.3_FG006"	0
"AC177883.2_FG003"	0
"AC177884.3_FG008"	0
"AC177886.2_FG001"	0
"AC177888.2_FG002"	0
