""	"BS.S4.vs.M.S4"	"BS.S9.vs.M.S9"	"BS.S14.vs.M.S14"
"AC148152.3_FG001"	1	0.562154062702578	1
"AC148152.3_FG005"	0.160054387761223	0.727899195329768	1
"AC148152.3_FG006"	1	1	1
"AC148152.3_FG008"	0.582303789629158	1	1
"AC148167.6_FG001"	0.330343113401507	0.0279002033040281	1.14178635693806e-05
"AC149475.2_FG002"	0.197031082070912	0.473250161835732	1
"AC149475.2_FG003"	2.92256745371015e-10	2.07282806335725e-05	1
"AC149475.2_FG004"	1	1	1
"AC149475.2_FG005"	0.842714095776381	0.995725660380749	1
"AC149475.2_FG007"	1	1	1
"AC149810.2_FG003"	1	1	1
"AC149810.2_FG004"	1	1	1
"AC149810.2_FG008"	1	0.384091978991958	0.200047514626887
"AC149818.2_FG001"	0.321264139788516	0.777211751604692	1
"AC149818.2_FG004"	1	0.777211751604692	1
"AC149818.2_FG005"	1	0.786628998020629	0.93810199727452
"AC149818.2_FG006"	0.788209091671116	0.00585155498262949	0.0786264746113712
"AC149818.2_FG007"	1	0.0389895821744726	0.624154840544396
"AC149818.2_FG008"	1	1	1
"AC149818.2_FG009"	1	1	1
"AC149828.2_FG002"	0.196914999806245	0.611963312437438	0.581243754786685
"AC149828.2_FG004"	0.996451447015187	0.777211751604692	1
"AC149828.2_FG005"	1	1	0.93810199727452
"AC149829.2_FG002"	1	0.69483525322674	1
"AC149829.2_FG003"	1	0.605399105443088	1
"AC149829.2_FG004"	1	0.382679766180199	1
"AC149829.2_FG006"	0.430350300932188	0.0417362581134254	0.719683822512161
"AC150739.3_FG001"	0.996451447015187	0.0402146081653749	0.684782196844492
"AC152495.1_FG002"	1	1	0.814728272946961
"AC152495.1_FG003"	1	0.777211751604692	0.93810199727452
"AC152495.1_FG005"	0.996451447015187	1	1
"AC152495.1_FG006"	1	1	1
"AC152495.1_FG010"	1	0.777211751604692	0.191460814631559
"AC152495.1_FG011"	1	1	1
"AC152495.1_FG012"	1	1	1
"AC152495.1_FG013"	1	0.433198806834857	1
"AC152495.1_FG015"	1	1	1
"AC152495.1_FG017"	1	0.777211751604692	0.716099673314391
"AC155352.2_FG001"	0.996451447015187	1	1
"AC155352.2_FG009"	1	1	1
"AC155352.2_FG010"	1	1	1
"AC155376.2_FG002"	1	1	1
"AC155376.2_FG004"	1	1	1
"AC155376.2_FG005"	0.443474898413099	0.00960321006123011	0.888730280233938
"AC155377.1_FG001"	1	1	0.436381738663487
"AC155377.1_FG002"	1	0.778479929652482	1
"AC155390.2_FG002"	1	1	0.731120878099552
"AC155434.2_FG001"	0.502894560601291	0.195088598343536	0.887817662791206
"AC155434.2_FG003"	0.669336890073769	1	0.00310591644555611
"AC155434.2_FG004"	1	1	1
"AC155434.2_FG005"	0.489535143600754	0.0997402431913163	1
"AC155434.2_FG006"	1	1	1
"AC155434.2_FG008"	1	1	1
"AC155496.2_FG009"	1	0.777211751604692	1
"AC155610.2_FG007"	1	0.777211751604692	1
"AC155610.2_FG009"	1	1	1
"AC155622.2_FG001"	1	1	1
"AC155622.2_FG004"	1	1	0.93810199727452
"AC155624.2_FG006"	1	0.708415062107645	1
"AC155624.2_FG008"	1	0.777211751604692	1
"AC155624.2_FG011"	0.996451447015187	0.10625011901903	1
"AC155624.2_FG012"	1	1	1
"AC159612.1_FG007"	1	0.585985736454351	0.637292618630819
"AC165171.2_FG002"	1	1	0.396250375056127
"AC165178.2_FG001"	0.996451447015187	0.777211751604692	1
"AC165178.2_FG002"	0.996451447015187	1	1
"AC165178.2_FG003"	1	1	1
"AC165178.2_FG004"	1	0.777211751604692	1
"AC166636.1_FG007"	1	1	1
"AC166636.1_FG008"	0.790013677499824	1	1
"AC166636.1_FG009"	1	0.562154062702578	0.93810199727452
"AC177815.2_FG001"	1	1	1
"AC177815.2_FG003"	0.996451447015187	1	1
"AC177819.2_FG005"	1	1	1
"AC177820.3_FG007"	1	1	1
"AC177820.3_FG009"	1	1	1
"AC177821.2_FG002"	1	1	1
"AC177821.2_FG003"	1	1	1
"AC177821.2_FG005"	1	0.777211751604692	0.93810199727452
"AC177824.2_FG003"	1	1	1
"AC177831.3_FG004"	1	0.777211751604692	0.590343759578033
"AC177833.2_FG001"	1	0.777211751604692	1
"AC177837.3_FG002"	1	1	1
"AC177837.3_FG007"	1	1	1
"AC177837.3_FG012"	1	1	0.00697557955129904
"AC177838.2_FG002"	0.996451447015187	1	1
"AC177838.2_FG009"	1	1	1
"AC177838.2_FG012"	1	1	1
"AC177838.2_FG013"	1	1	1
"AC177838.2_FG015"	1	1	1
"AC177838.2_FG017"	1	1	1
"AC177838.2_FG018"	1	1	1
"AC177840.3_FG003"	1	1	1
"AC177840.3_FG005"	1	1	1
"AC177844.2_FG003"	1	1	1
"AC177845.2_FG001"	1	1	1
"AC177846.2_FG001"	1	1	1
"AC177846.2_FG002"	1	0.777211751604692	1
"AC177849.3_FG001"	1	1	1
"AC177850.2_FG003"	1	0.47848849800569	1
"AC177850.2_FG005"	0.996451447015187	1	1
"AC177850.2_FG006"	1	1	1
"AC177852.2_FG003"	1	1	1
"AC177854.5_FG003"	1	1	1
"AC177859.4_FG006"	1	1	1
"AC177859.4_FG010"	1	0.562154062702578	1
"AC177860.4_FG002"	1	0.36443083449737	1
"AC177860.4_FG009"	1	1	1
"AC177862.3_FG002"	1	1	1
"AC177863.3_FG013"	1	1	1
"AC177863.3_FG014"	1	1	1
"AC177867.2_FG001"	1	1	1
"AC177868.3_FG005"	1	1	1
"AC177871.2_FG004"	1	1	1
"AC177873.3_FG003"	1	1	1
"AC177875.2_FG005"	1	1	1
"AC177878.4_FG002"	1	1	1
"AC177882.3_FG005"	1	1	1
"AC177882.3_FG006"	1	1	1
"AC177883.2_FG003"	1	1	1
"AC177884.3_FG008"	1	1	1
"AC177886.2_FG001"	1	1	1
"AC177888.2_FG002"	1	1	1
"AC177889.2_FG004"	1	1	1
"AC177889.2_FG006"	1	1	1
"AC177890.3_FG005"	0.996451447015187	1	1
"AC177893.3_FG003"	1	1	1
"AC177893.3_FG005"	1	1	1
"AC177893.3_FG006"	1	0.777211751604692	1
"AC177897.2_FG002"	1	1	1
"AC177897.2_FG020"	1	1	1
"AC177897.2_FG021"	1	1	1
"AC177897.2_FG022"	1	1	1
"AC177897.2_FG025"	1	0.777211751604692	0.93810199727452
"AC177897.2_FG029"	1	1	1
"AC177897.2_FG036"	1	1	1
"AC177899.2_FG009"	1	1	1
"AC177899.2_FG012"	1	0.777211751604692	1
"AC177900.4_FG001"	1	1	1
"AC177901.3_FG002"	1	1	1
"AC177901.3_FG004"	1	1	1
"AC177902.2_FG003"	1	1	1
"AC177903.4_FG002"	0.996451447015187	1	1
"AC177905.2_FG001"	1	1	1
"AC177905.2_FG003"	1	1	1
"AC177905.2_FG007"	1	1	1
"AC177907.4_FG006"	1	1	1
"AC177908.3_FG002"	1	0.39634846838587	1
"AC177908.3_FG003"	1	1	1
"AC177908.3_FG006"	1	1	1
"AC177909.3_FG007"	1	1	1
"AC177910.2_FG004"	1	1	1
"AC177911.4_FG005"	1	1	1
"AC177913.4_FG002"	1	0.777211751604692	1
"AC177914.2_FG004"	1	1	1
"AC177915.2_FG022"	1	1	1
"AC177917.1_FG005"	1	1	1
"AC177919.3_FG004"	1	1	1
"AC177920.3_FG008"	1	1	1
"AC177922.2_FG001"	1	1	1
"AC177922.2_FG002"	1	1	1
"AC177922.2_FG003"	1	1	1
"AC177924.2_FG001"	1	1	1
"AC177924.2_FG003"	0.348526283543459	0.562154062702578	1
"AC177925.2_FG003"	1	1	1
"AC177926.2_FG003"	1	1	1
"AC177926.2_FG017"	1	1	1
"AC177930.2_FG001"	1	1	1
"AC177930.2_FG002"	1	1	1
"AC177933.2_FG002"	1	0.777211751604692	1
"AC177933.2_FG003"	1	1	1
"AC177933.2_FG005"	1	1	1
"AC177934.2_FG001"	1	1	1
"AC177936.6_FG008"	0.659182857659532	0.87405617443146	0.0971371841625541
"AC177939.3_FG004"	1	1	1
"AC177940.4_FG006"	1	0.777211751604692	1
"AC177941.3_FG001"	1	0.777211751604692	0.93810199727452
"AC177941.3_FG006"	1	1	1
"AC177941.3_FG008"	1	1	1
"AC177944.2_FG001"	1	1	1
"AC177945.3_FG009"	1	1	1
"AC177946.2_FG004"	1	1	1
"AC177946.2_FG006"	1	0.777211751604692	1
"AC177946.2_FG009"	0.996451447015187	1	1
"AC177947.2_FG003"	1	1	0.93810199727452
"AC182101.3_FG001"	1	1	1
"AC182101.3_FG006"	1	1	1
"AC182105.3_FG001"	1	1	1
"AC182105.3_FG005"	1	0.36443083449737	1
"AC182105.3_FG006"	1	0.777211751604692	1
"AC182110.4_FG002"	0.790013677499824	1	1
"AC182413.4_FG002"	1	1	1
"AC182413.4_FG012"	1	1	1
"AC182414.3_FG001"	1	1	1
"AC182414.3_FG003"	1	1	1
"AC182415.4_FG001"	1	1	1
"AC182417.4_FG004"	1	1	1
"AC182420.4_FG001"	1	1	1
"AC182439.4_FG004"	1	1	1
"AC182440.4_FG002"	1	1	1
"AC182440.4_FG003"	1	0.777211751604692	1
"AC182481.3_FG003"	1	1	1
"AC182482.3_FG003"	2.1715456218777e-05	1.09982492768432e-23	6.27550953430945e-12
"AC182603.4_FG003"	1	1	1
"AC182606.4_FG001"	1	1	1
"AC182606.4_FG002"	1	1	1
"AC182608.4_FG001"	1	1	1
"AC182611.4_FG004"	1	1	1
"AC182615.4_FG001"	1	1	1
"AC182615.4_FG002"	1	1	1
"AC182615.4_FG003"	1	1	1
"AC182617.3_FG001"	0.772344179271658	1	0.586192001250475
"AC182618.3_FG001"	1	0.777211751604692	1
"AC182622.3_FG004"	1	1	0.60363115157004
"AC182622.3_FG005"	1	1	1
"AC182623.3_FG004"	1	1	1
"AC182627.2_FG003"	1	0.777211751604692	1
"AC182819.4_FG002"	1	1	1
"AC182819.4_FG003"	1	1	1
"AC182823.3_FG007"	1	1	1
"AC182824.4_FG001"	1	1	1
"AC182826.4_FG003"	1	1	1
"AC182830.3_FG003"	1	1	1
"AC182830.3_FG004"	1	0.777211751604692	1
"AC182831.3_FG004"	1	1	1
"AC182833.3_FG013"	1	1	1
"AC182833.3_FG014"	1	1	1
"AC182835.3_FG004"	1	0.777211751604692	1
"AC182838.3_FG006"	1	1	1
"AC183307.5_FG001"	1	1	1
"AC183314.3_FG001"	1	1	1
"AC183314.3_FG007"	1	1	1
"AC183315.4_FG006"	1	0.430256636975337	0.376870019201976
"AC183318.3_FG001"	0.996451447015187	0.777211751604692	1
"AC183319.3_FG001"	7.69331607230763e-06	0.00050803392730771	1.76362330925243e-05
"AC183372.4_FG006"	1	1	1
"AC183372.4_FG008"	1	1	1
"AC183412.5_FG005"	1	0.777211751604692	1
"AC183413.3_FG006"	0.996451447015187	1	1
"AC183503.2_FG001"	1	0.562154062702578	1
"AC183503.2_FG002"	1	1	1
"AC183503.2_FG003"	0.996451447015187	0.777211751604692	1
"AC183504.4_FG003"	0.790013677499824	1	1
"AC183509.1_FG001"	0.996451447015187	0.777211751604692	0.191841853343148
"AC183509.1_FG002"	1	1	1
"AC183510.4_FG001"	1	1	1
"AC183511.4_FG003"	1	1	1
"AC183514.3_FG005"	1	1	1
"AC183514.3_FG006"	1	1	1
"AC183518.2_FG001"	1	1	1
"AC183521.2_FG006"	1	1	1
"AC183590.4_FG001"	1	1	1
"AC183590.4_FG003"	1	1	1
"AC183591.3_FG003"	1	1	1
"AC183656.2_FG005"	1	1	1
"AC183657.2_FG001"	1	1	1
"AC183659.4_FG005"	1	1	1
"AC183659.4_FG006"	1	1	1
"AC183661.3_FG004"	1	1	1
"AC183757.3_FG001"	1	1	1
"AC183758.4_FG005"	1	1	1
"AC183758.4_FG006"	1	1	1
"AC183758.4_FG007"	1	1	1
"AC183782.3_FG002"	1	1	1
"AC183783.4_FG004"	1	1	1
"AC183788.3_FG002"	1	0.777211751604692	1
"AC183811.3_FG003"	1	1	1
"AC183815.4_FG004"	1	1	1
"AC183817.2_FG002"	1	0.777211751604692	1
"AC183818.2_FG001"	1	1	1
"AC183820.4_FG002"	1	1	1
"AC183822.3_FG001"	1	1	1
"AC183822.3_FG003"	1	1	1
"AC183823.3_FG006"	1	1	1
"AC183825.3_FG003"	1	1	1
"AC183888.4_FG006"	1	1	1
"AC183888.4_FG008"	1	1	1
"AC183895.3_FG001"	1	0.777211751604692	1
"AC183895.3_FG003"	1	1	1
"AC183899.3_FG001"	1	1	1
"AC183900.3_FG002"	1	0.777211751604692	1
"AC183901.2_FG010"	1	1	1
"AC183907.3_FG001"	1	1	1
"AC183907.3_FG003"	1	1	1
"AC183912.3_FG002"	1	1	1
"AC183914.3_FG002"	1	0.562154062702578	1
"AC183914.3_FG004"	1	1	1
"AC183915.4_FG001"	0.996451447015187	0.777211751604692	1
"AC183915.4_FG002"	1	0.777211751604692	1
"AC183917.3_FG004"	0.996451447015187	3.75661717955446e-05	0.294933642663472
"AC183926.3_FG003"	1	1	1
"AC183926.3_FG005"	1	1	1
"AC183927.3_FG003"	1	1	1
"AC183927.3_FG004"	1	0.777211751604692	1
"AC183928.4_FG001"	1	1	1
"AC183928.4_FG006"	1	1	1
"AC183929.4_FG003"	1	1	1
"AC183932.3_FG004"	1	1	1
"AC183932.3_FG007"	1	1	0.93810199727452
"AC183933.2_FG003"	1	1	1
"AC183938.4_FG004"	1	0.777211751604692	1
"AC183938.4_FG011"	1	0.777211751604692	1
"AC183938.4_FG014"	1	1	1
"AC183939.3_FG003"	1	1	1
"AC183939.3_FG005"	1	1	1
"AC183943.3_FG001"	1	1	1
"AC183944.4_FG002"	1	1	1
"AC183944.4_FG003"	1	1	1
"AC183950.2_FG002"	1	1	1
"AC183950.2_FG003"	1	1	1
"AC183950.2_FG004"	0.67362735472188	1	0.600415255814282
"AC183950.2_FG005"	1	0.777211751604692	1
"AC183956.3_FG002"	1	1	1
"AC183968.2_FG001"	1	1	1
"AC183969.3_FG001"	1	1	1
"AC183969.3_FG003"	1	1	1
"AC183969.3_FG008"	1	1	1
"AC183974.4_FG001"	1	1	1
"AC184048.4_FG002"	1	1	1
"AC184048.4_FG011"	1	1	1
"AC184048.4_FG013"	1	1	1
"AC184050.2_FG002"	1	1	1
"AC184050.2_FG004"	1	1	1
"AC184112.4_FG010"	0.996451447015187	0.777211751604692	1
"AC184113.4_FG001"	1	1	1
"AC184116.3_FG001"	0.996451447015187	1	0.93810199727452
"AC184119.3_FG004"	1	1	1
"AC184127.3_FG003"	0.996451447015187	0.777211751604692	0.93810199727452
"AC184129.2_FG002"	1	1	1
"AC184130.4_FG001"	1	1	1
"AC184130.4_FG005"	1	1	1
"AC184130.4_FG012"	1	1	0.390183743789729
"AC184131.5_FG003"	1	0.777211751604692	1
"AC184131.5_FG010"	1	1	1
"AC184132.3_FG007"	1	1	1
"AC184133.3_FG001"	1	0.246110444124984	1
"AC184133.3_FG004"	1	0.777211751604692	1
"AC184138.4_FG003"	1	1	1
"AC184164.2_FG004"	1	1	1
"AC184164.2_FG005"	1	1	1
"AC184164.2_FG006"	1	1	1
"AC184165.4_FG001"	1	1	1
"AC184168.3_FG004"	1	1	1
"AC184169.3_FG001"	1	1	0.93810199727452
"AC184170.4_FG002"	1	0.777211751604692	1
"AC184171.4_FG002"	1	1	1
"AC184171.4_FG003"	1	1	1
"AC184172.3_FG001"	1	0.777211751604692	1
"AC184172.3_FG004"	1	1	1
"AC184691.2_FG001"	1	1	1
"AC184694.3_FG007"	1	1	1
"AC184698.4_FG004"	0.996451447015187	1	1
"AC184699.3_FG005"	0.514291254668304	1	0.480865895842748
"AC184700.4_FG003"	1	1	1
"AC184702.3_FG001"	1	1	1
"AC184703.5_FG001"	1	1	1
"AC184705.4_FG001"	1	1	1
"AC184706.2_FG001"	1	1	1
"AC184707.3_FG004"	1	1	1
"AC184764.3_FG003"	1	1	1
"AC184764.3_FG006"	1	1	1
"AC184765.4_FG004"	1	1	1
"AC184765.4_FG005"	1	1	0.93810199727452
"AC184766.3_FG002"	1	1	1
"AC184768.3_FG001"	1	1	1
"AC184770.3_FG001"	1	1	1
"AC184771.4_FG003"	1	1	1
"AC184772.3_FG001"	1	1	1
"AC184774.4_FG002"	1	1	1
"AC184775.2_FG002"	1	1	1
"AC184776.3_FG003"	1	1	1
"AC184778.3_FG002"	1	1	1
"AC184780.3_FG004"	1	1	1
"AC184781.4_FG010"	1	1	1
"AC184782.3_FG004"	1	1	1
"AC184783.3_FG005"	1	1	1
"AC184787.2_FG002"	1	1	1
"AC184787.2_FG003"	1	1	1
"AC184788.2_FG001"	1	1	1
"AC184789.4_FG002"	1	1	1
"AC184790.3_FG003"	1	0.777211751604692	1
"AC184794.2_FG003"	1	0.777211751604692	1
"AC184831.3_FG003"	1	1	1
"AC184831.3_FG005"	1	1	1
"AC184831.3_FG008"	1	1	1
"AC184832.2_FG001"	1	1	1
"AC184832.2_FG002"	1	1	1
"AC184834.3_FG005"	0.790013677499824	0.594381633848363	1
"AC184834.3_FG007"	1	1	1
"AC184835.3_FG003"	1	1	1
"AC184836.3_FG002"	1	1	1
"AC184836.3_FG003"	1	0.777211751604692	1
"AC184845.4_FG004"	1	1	1
"AC184851.4_FG005"	1	0.777211751604692	1
"AC184854.4_FG001"	1	1	1
"AC184854.4_FG003"	1	1	1
"AC184856.3_FG002"	1	1	1
"AC184856.3_FG007"	1	1	1
"AC184857.2_FG006"	0.996451447015187	0.777211751604692	1
"AC184858.3_FG003"	1	1	1
"AC184859.3_FG001"	1	1	1
"AC184859.3_FG002"	1	1	1
"AC184865.4_FG003"	1	0.777211751604692	1
"AC184866.3_FG004"	1	1	1
"AC184866.3_FG005"	1	1	1
"AC184866.3_FG007"	1	1	1
"AC184868.2_FG005"	1	1	1
"AC184868.2_FG006"	1	1	1
"AC184871.2_FG002"	1	1	1
"AC184871.2_FG009"	1	1	1
"AC184873.4_FG001"	1	1	1
"AC185108.3_FG006"	1	1	1
"AC185108.3_FG007"	1	1	1
"AC185108.3_FG008"	1	1	1
"AC185108.3_FG010"	1	1	1
"AC185108.3_FG011"	1	1	1
"AC185111.3_FG003"	1	1	1
"AC185111.3_FG004"	1	1	1
"AC185112.2_FG002"	1	1	1
"AC185115.2_FG005"	1	0.777211751604692	1
"AC185121.3_FG001"	1	1	1
"AC185122.3_FG008"	1	1	1
"AC185122.3_FG009"	1	1	1
"AC185126.3_FG002"	1	1	1
"AC185126.3_FG006"	1	1	1
"AC185128.2_FG002"	1	1	1
"AC185130.2_FG004"	1	1	1
"AC185130.2_FG005"	1	1	1
"AC185213.3_FG003"	1	1	1
"AC185216.4_FG002"	1	1	1
"AC185217.3_FG002"	1	1	1
"AC185217.3_FG003"	1	1	1
"AC185217.3_FG004"	1	1	1
"AC185217.3_FG007"	1	1	1
"AC185218.4_FG004"	0.996451447015187	1	1
"AC185218.4_FG007"	1	1	1
"AC185222.5_FG001"	1	1	1
"AC185222.5_FG002"	1	1	1
"AC185223.3_FG005"	1	1	1
"AC185223.3_FG007"	0.996451447015187	1	1
"AC185224.4_FG005"	1	1	1
"AC185226.4_FG001"	1	1	0.980021497528835
"AC185226.4_FG006"	0.996451447015187	0.0778836298252816	1
"AC185226.4_FG007"	1	1	1
"AC185228.4_FG002"	1	1	1
"AC185233.3_FG012"	1	1	1
"AC185234.4_FG001"	0.996451447015187	0.777211751604692	1
"AC185234.4_FG005"	1	0.238559230086165	1
"AC185251.3_FG002"	1	1	1
