""	"Tausta_2014.M.Section_4.1"	"Tausta_2014.M.Section_4.2"	"Tausta_2014.M.Section_9.1"	"Tausta_2014.M.Section_9.2"	"Tausta_2014.M.Section_14.1"	"Tausta_2014.M.Section_14.2"	"Tausta_2014.BS.Section_4.1"	"Tausta_2014.BS.Section_4.2"	"Tausta_2014.BS.Section_9.1"	"Tausta_2014.BS.Section_9.2"	"Tausta_2014.BS.Section_14.1"	"Tausta_2014.BS.Section_14.2"
"AC148152.3_FG001"	0	0	0	0	0	0	0	0	2	0	0	0
"AC148152.3_FG005"	13	3	1	0	0	0	1	1	3	2	0	0
"AC148152.3_FG006"	1	1	2	1	0	0	0	1	0	2	0	0
"AC148152.3_FG008"	1657	1753	3206	2991	511	338	1762	1202	2925	3193	401	481
"AC148167.6_FG001"	215	257	1750	1832	614	684	358	348	1271	1192	288	397
"AC149475.2_FG002"	14	16	9	18	9	3	7	3	2	9	9	10
"AC149475.2_FG003"	60	52	117	121	140	92	293	234	308	292	81	166
"AC149475.2_FG004"	0	1	0	3	3	3	2	1	2	0	1	2
"AC149475.2_FG005"	14	9	19	22	8	4	9	5	14	15	6	3
"AC149475.2_FG007"	4	2	4	1	1	0	4	2	2	2	1	0
"AC149810.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC149810.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC149810.2_FG008"	7	3	0	0	1	4	5	1	0	3	0	0
"AC149818.2_FG001"	0	0	0	1	3	1	0	5	4	1	1	2
"AC149818.2_FG004"	0	0	0	0	0	0	0	0	1	0	0	0
"AC149818.2_FG005"	3	0	0	1	5	2	2	1	0	0	2	0
"AC149818.2_FG006"	46	35	71	53	96	96	68	64	128	136	53	53
"AC149818.2_FG007"	0	1	0	0	0	0	1	2	3	5	2	0
"AC149818.2_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC149818.2_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC149828.2_FG002"	1	5	16	18	6	3	16	9	5	12	6	16
"AC149828.2_FG004"	1	0	0	0	0	0	0	0	0	1	0	0
"AC149828.2_FG005"	0	0	0	0	0	0	0	0	0	0	0	1
"AC149829.2_FG002"	0	0	0	0	2	0	0	0	0	2	1	0
"AC149829.2_FG003"	2	0	1	1	1	0	4	0	0	0	1	1
"AC149829.2_FG004"	1	2	0	3	0	0	1	1	0	0	0	0
"AC149829.2_FG006"	41	26	108	99	17	15	27	11	27	51	11	6
"AC150739.3_FG001"	12	13	22	20	8	6	7	10	5	9	12	14
"AC152495.1_FG002"	0	0	1	1	3	1	0	0	0	1	4	6
"AC152495.1_FG003"	0	0	1	4	0	0	0	0	0	1	1	0
"AC152495.1_FG005"	0	0	0	0	0	0	1	0	0	0	0	0
"AC152495.1_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC152495.1_FG010"	0	0	1	0	6	7	0	0	0	0	2	0
"AC152495.1_FG011"	0	0	0	0	0	0	0	0	0	0	0	0
"AC152495.1_FG012"	3	1	0	4	0	0	2	0	4	1	0	0
"AC152495.1_FG013"	0	0	0	0	0	0	0	0	5	0	0	0
"AC152495.1_FG015"	0	0	0	0	0	0	0	0	0	0	0	0
"AC152495.1_FG017"	0	0	1	0	7	7	0	0	0	0	4	1
"AC155352.2_FG001"	0	0	0	0	0	0	1	0	0	0	0	0
"AC155352.2_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC155352.2_FG010"	0	0	0	0	0	0	0	0	0	0	0	0
"AC155376.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC155376.2_FG004"	1	0	0	2	0	0	2	1	3	1	0	0
"AC155376.2_FG005"	2	1	10	0	4	0	0	0	44	47	6	5
"AC155377.1_FG001"	99	119	427	387	179	201	102	109	343	410	135	138
"AC155377.1_FG002"	29	10	25	33	21	6	29	29	44	43	9	13
"AC155390.2_FG002"	0	0	2	3	0	0	0	0	0	4	0	2
"AC155434.2_FG001"	5	3	1	3	2	2	1	1	0	0	0	1
"AC155434.2_FG003"	26	14	84	65	14	9	12	12	49	78	2	0
"AC155434.2_FG004"	1	3	1	0	1	6	2	2	1	1	2	6
