""	"BS.S4.vs.M.S4"	"BS.S9.vs.M.S9"	"BS.S14.vs.M.S14"
"AC148152.3_FG001"	0	2.45780872467784	0
"AC148152.3_FG005"	-3.16619461601841	1.90862371241866	0
"AC148152.3_FG006"	-1.06290865543382	-0.478176216071443	0
"AC148152.3_FG008"	-0.393148514820614	-0.00830202929063326	0.0493821652571662
"AC148167.6_FG001"	0.415538940263982	-0.534875803923095	-0.959795270067108
"AC149475.2_FG002"	-1.75569710114465	-1.22461524207637	0.653896333193414
"AC149475.2_FG003"	2.04483122286778	1.33794083627284	0.038322995399641
"AC149475.2_FG004"	1.32552937621838	-0.49834276373301	-0.99434047268379
"AC149475.2_FG005"	-0.907997649940471	-0.484616414216254	-0.402049379544565
"AC149475.2_FG007"	-0.194413044582955	-0.296731752390265	0.000135585546659335
"AC149810.2_FG003"	0	0	0
"AC149810.2_FG004"	0	0	0
"AC149810.2_FG008"	-0.974021727719205	3.00762027858238	-4.83905661897299
"AC149818.2_FG001"	5.33671718912047	1.90136100044958	-0.419389135699206
"AC149818.2_FG004"	0	1.7042837093729	0
"AC149818.2_FG005"	-0.236088092821756	-1.70526978493173	-1.65356291750453
"AC149818.2_FG006"	0.517272611912398	1.09255754773125	-0.866644990096874
"AC149818.2_FG007"	1.34319587471557	4.28011601749774	3.58593385256534
"AC149818.2_FG008"	0	0	0
"AC149818.2_FG009"	0	0	0
"AC149828.2_FG002"	1.88036023108049	-0.956645805025758	1.21570777913426
"AC149828.2_FG004"	-3.26882254285329	1.72477633175852	0
"AC149828.2_FG005"	0	0	2.63914905451443
"AC149829.2_FG002"	0	2.52389970693298	-0.781248823667221
"AC149829.2_FG003"	0.692434619263346	-2.47338991217097	0.883605172138914
"AC149829.2_FG004"	-0.702405992935347	-2.95538993983518	0
"AC149829.2_FG006"	-1.04299680066919	-1.3758537433443	-0.891503456237811
"AC150739.3_FG001"	-0.716195980330852	-1.5455928121525	0.864839015892606
"AC152495.1_FG002"	0	-0.754876650154169	1.25791439095795
"AC152495.1_FG003"	0	-1.8866281325602	2.70338197514384
"AC152495.1_FG005"	3.09058468376279	0	0
"AC152495.1_FG006"	0	0	0
"AC152495.1_FG010"	0	-1.71579482751597	-2.58375757762443
"AC152495.1_FG011"	0	0	0
"AC152495.1_FG012"	-1.19952956214098	0.287761618014972	0
"AC152495.1_FG013"	0	3.56506523521186	0
"AC152495.1_FG015"	0	0	0
"AC152495.1_FG017"	0	-1.71593152103234	-1.42626225530639
"AC155352.2_FG001"	3.09058468376279	0	0
"AC155352.2_FG009"	0	0	0
"AC155352.2_FG010"	0	0	0
"AC155376.2_FG002"	0	0	0
"AC155376.2_FG004"	1.29350040990871	0.86083465154533	0
"AC155376.2_FG005"	-4.74992510086382	3.11692363624623	1.44971178518087
"AC155377.1_FG001"	-0.208903123245892	-0.0993749396883818	-0.4889838134967
"AC155377.1_FG002"	0.348350249679989	0.591575388103266	-0.301477884100276
"AC155390.2_FG002"	0	-0.231722302693634	3.46892282547357
"AC155434.2_FG001"	-2.11358791525036	-3.33300273660025	-1.8555568923632
"AC155434.2_FG003"	-0.936438599651872	-0.209536466703175	-3.40853773128783
"AC155434.2_FG004"	-0.141851053542747	0.760099746220545	0.0981931813510696
"AC155434.2_FG005"	4.57219617222569	3.63060227960786	0
"AC155434.2_FG006"	0	0	0
"AC155434.2_FG008"	0	0	0
"AC155496.2_FG009"	0.178896645001311	-0.63797590360795	0.192549548375611
"AC155610.2_FG007"	0	1.7042837093729	0
"AC155610.2_FG009"	0	0	0
"AC155622.2_FG001"	-0.00117910151310779	-0.36064364658034	0.430783461557245
"AC155622.2_FG004"	0	-0.0127911923428527	-2.69241757419619
"AC155624.2_FG006"	0.601910543982628	0.685417659348569	0.603512662193523
"AC155624.2_FG008"	0	-1.71659708450271	0
"AC155624.2_FG011"	-0.323816164381182	-0.609732756281011	-0.109220275705394
"AC155624.2_FG012"	0	0	0
"AC159612.1_FG007"	3.08512050654246	-2.47333625793007	-3.59056830197901
"AC165171.2_FG002"	0	0	-4.10328025007998
"AC165178.2_FG001"	3.09041383979711	1.72477341380175	0
"AC165178.2_FG002"	3.11211491784164	0	0
"AC165178.2_FG003"	0	0	0
"AC165178.2_FG004"	0	1.7042837093729	0
"AC166636.1_FG007"	0	0	0
"AC166636.1_FG008"	4.01527775023047	0	0
"AC166636.1_FG009"	0	-2.46479064094468	-2.674073858974
"AC177815.2_FG001"	0	0	0
"AC177815.2_FG003"	-3.23429426976482	0	0
"AC177819.2_FG005"	0	0	0
"AC177820.3_FG007"	0	0	0
"AC177820.3_FG009"	0	0	0
"AC177821.2_FG002"	0	0	0
"AC177821.2_FG003"	0	0	0
"AC177821.2_FG005"	0	1.70411271465965	-2.69226474774303
"AC177824.2_FG003"	0	0	0
"AC177831.3_FG004"	0	-1.71393452884836	-1.32707612185932
"AC177833.2_FG001"	0	1.7042837093729	0
"AC177837.3_FG002"	0	0	0
"AC177837.3_FG007"	0	0	0
"AC177837.3_FG012"	0	0	4.39629066558438
"AC177838.2_FG002"	-3.29990357884798	0.925576750183944	0
"AC177838.2_FG009"	0	0	0
"AC177838.2_FG012"	0	-0.00331305289840933	0
"AC177838.2_FG013"	0	0	0
"AC177838.2_FG015"	0	0	0
"AC177838.2_FG017"	0	0	0
"AC177838.2_FG018"	0	0	0
"AC177840.3_FG003"	0	0	0
"AC177840.3_FG005"	0	0	0
"AC177844.2_FG003"	0	0	0
"AC177845.2_FG001"	0	0	0
"AC177846.2_FG001"	0	0	0
"AC177846.2_FG002"	0	-1.71659708450271	0
"AC177849.3_FG001"	0	0	0
"AC177850.2_FG003"	0.627789643935722	-1.77582860722436	0
"AC177850.2_FG005"	3.09058468376279	0	0
"AC177850.2_FG006"	0	0	0
"AC177852.2_FG003"	0	0	0
"AC177854.5_FG003"	0	0	0
"AC177859.4_FG006"	0	0	0
"AC177859.4_FG010"	0	2.45780872467784	0
"AC177860.4_FG002"	0	2.96402061127626	0
"AC177860.4_FG009"	0	0	0
"AC177862.3_FG002"	0	0	0
"AC177863.3_FG013"	0	0	0
"AC177863.3_FG014"	0	0	0
"AC177867.2_FG001"	0	0	0
"AC177868.3_FG005"	0	0	0
"AC177871.2_FG004"	0	0	0
"AC177873.3_FG003"	0	0	0
"AC177875.2_FG005"	0	0	0
"AC177878.4_FG002"	0	0	0
"AC177882.3_FG005"	0	0	0
"AC177882.3_FG006"	0	0	0
"AC177883.2_FG003"	0	0	0
"AC177884.3_FG008"	0	0	0
"AC177886.2_FG001"	0	0	0
"AC177888.2_FG002"	0	0	0
"AC177889.2_FG004"	0	0	0
"AC177889.2_FG006"	0	0	0
"AC177890.3_FG005"	-3.26849569319121	0	0
"AC177893.3_FG003"	0	0	0
"AC177893.3_FG005"	0	0	0
"AC177893.3_FG006"	0	1.7042837093729	0
"AC177897.2_FG002"	-1.076513766052	-0.754830573707585	0
"AC177897.2_FG020"	0	0	0
"AC177897.2_FG021"	0	0	0
"AC177897.2_FG022"	0	0	0
"AC177897.2_FG025"	0	-1.71668233727943	2.68690362047943
"AC177897.2_FG029"	0	0	0
"AC177897.2_FG036"	0	0	0
"AC177899.2_FG009"	0	0	0
"AC177899.2_FG012"	0	1.7042837093729	0
"AC177900.4_FG001"	0	0	0
"AC177901.3_FG002"	0	0	0
"AC177901.3_FG004"	0	0	0
"AC177902.2_FG003"	0	0	0
"AC177903.4_FG002"	-3.23429426976482	0	0
"AC177905.2_FG001"	0	0	0
"AC177905.2_FG003"	0	0	0
"AC177905.2_FG007"	0	0	0
"AC177907.4_FG006"	0	0	0
"AC177908.3_FG002"	0.330142406360851	1.26173862686133	-0.731460955684893
"AC177908.3_FG003"	0	0	0
"AC177908.3_FG006"	0	0	0
"AC177909.3_FG007"	0	0	0
"AC177910.2_FG004"	0	0	0
"AC177911.4_FG005"	0	0	0
"AC177913.4_FG002"	0	1.7042837093729	0
"AC177914.2_FG004"	0	0	0
"AC177915.2_FG022"	0	0	0
"AC177917.1_FG005"	0	0	0
"AC177919.3_FG004"	0	0	0
"AC177920.3_FG008"	0	0	0
"AC177922.2_FG001"	0	0	0
"AC177922.2_FG002"	0	0	0
"AC177922.2_FG003"	0	0	0
"AC177924.2_FG001"	0	0	0
"AC177924.2_FG003"	2.69723569895635	2.47566971205057	0
"AC177925.2_FG003"	0	0	0
"AC177926.2_FG003"	0	0	0
"AC177926.2_FG017"	0	0	0
"AC177930.2_FG001"	0	0	0
"AC177930.2_FG002"	0	0	0
"AC177933.2_FG002"	0	1.7042837093729	0
"AC177933.2_FG003"	0	0	0
"AC177933.2_FG005"	0	0	0
"AC177934.2_FG001"	0	0	0
"AC177936.6_FG008"	0.809281065893748	-0.396173361334774	-1.13893975032831
"AC177939.3_FG004"	0	0	0
"AC177940.4_FG006"	0	1.7042837093729	0
"AC177941.3_FG001"	0	1.70411176110831	2.68689687364413
"AC177941.3_FG006"	0	0	0
"AC177941.3_FG008"	0	0	0
"AC177944.2_FG001"	0	0	0
"AC177945.3_FG009"	0	0	0
"AC177946.2_FG004"	0	0	0
"AC177946.2_FG006"	0	-1.71659708450271	0
"AC177946.2_FG009"	3.11211491784164	0	0
"AC177947.2_FG003"	0	0	2.68643907657701
"AC182101.3_FG001"	0	0	0
"AC182101.3_FG006"	0	0	0
"AC182105.3_FG001"	0	0	0
"AC182105.3_FG005"	0	2.96402061127626	0
"AC182105.3_FG006"	0	1.7042837093729	0
"AC182110.4_FG002"	4.01527775023047	0	0
"AC182413.4_FG002"	0	0	0
"AC182413.4_FG012"	0	0	0
"AC182414.3_FG001"	0	0	0
"AC182414.3_FG003"	0	0	0
"AC182415.4_FG001"	0	0	0
"AC182417.4_FG004"	0	0	0
"AC182420.4_FG001"	0	0	0
"AC182439.4_FG004"	0	0	0
"AC182440.4_FG002"	0	0	0
"AC182440.4_FG003"	0	1.7042837093729	0
"AC182481.3_FG003"	0	0	0
"AC182482.3_FG003"	3.63198658274476	5.83148546927827	3.71808157335899
"AC182603.4_FG003"	0	0	0
"AC182606.4_FG001"	0	0	0
"AC182606.4_FG002"	0	0	0
"AC182608.4_FG001"	0	0	0
"AC182611.4_FG004"	0	0	0
"AC182615.4_FG001"	0	0	0
"AC182615.4_FG002"	0	0	0
"AC182615.4_FG003"	0	0	0
"AC182617.3_FG001"	-0.824207315647695	-0.116964074151505	1.09704547929091
"AC182618.3_FG001"	0	1.7042837093729	0
"AC182622.3_FG004"	0	0	-1.45524625403708
"AC182622.3_FG005"	0	0	0
"AC182623.3_FG004"	0	0	0
"AC182627.2_FG003"	0	1.72457419206718	0
"AC182819.4_FG002"	0	0	0
"AC182819.4_FG003"	0	0	0
"AC182823.3_FG007"	0	0	0
"AC182824.4_FG001"	0	0	0
"AC182826.4_FG003"	0	0	0
"AC182830.3_FG003"	0	0	0
"AC182830.3_FG004"	0	1.7042837093729	0
"AC182831.3_FG004"	0	0	0
"AC182833.3_FG013"	0	0	0
"AC182833.3_FG014"	0	0	0
"AC182835.3_FG004"	0	1.7042837093729	0
"AC182838.3_FG006"	0	0	0
"AC183307.5_FG001"	0	0	0
"AC183314.3_FG001"	0	0	0
"AC183314.3_FG007"	0	0	0
"AC183315.4_FG006"	-0.0982473458363607	1.51725199240089	1.66768678228456
"AC183318.3_FG001"	3.09191661116382	1.723185149075	0.789169272455494
"AC183319.3_FG001"	-1.67382970706721	-1.16137969532154	-1.59567229393789
